Kalvoda Tomáš ,2025 ZS,FALSE,LA1,"Soustavy lineárních rovnic: Frobeniova věta a související pojmy, vlastnosti a popis množiny řešení, Gaussova eliminační metoda. Zaměřte se na Gaussovu eliminační metodu, její princip a jak lze využít pro řešení lineárních rovnic.",B,,
Legerský Jan,2025 LS,FALSE,LA1,"Soustavy lineárních rovnic: Frobeniova věta a související pojmy, vlastnosti a popis množiny řešení, ilustrujte použitie Frobeniovej vety na príklade.",A,"Postupne som popísal všetko, čo sa vyskytlo v definicii, dopýtal sa ma na nejaké detaily okolo dimenze, mal som tam nejaku alternatívnu definíciu s bázi, tak že kedy nebude fungovať - keď je 0 a nekonečno.",
Scholtzová Jiřina ,2025 LS,FALSE,LA1,"Soustavy lineárních rovnic: Frobeniova věta a související pojmy, vlastnosti a popis množiny řešení, Gaussova eliminační metoda.",A,,
Petr Ivo,2025 LS,FALSE,LA1,"Matice: součin matic, regulární matice, inverzní matice a její výpočet, vlastní čísla matice a jejich výpočet, diagonalizace matice. - zúženo na vl. čísla, jejich výpočet a diagonalizaci.",A,,
Paták Pavel,2025 LS,FALSE,LA1,"Matice: součin matic, regulární matice, inverzní matice a její výpočet, vlastní čísla matice a jejich výpočet, diagonalizace matice. Zuzenie
na vlastne cisla a urcenie ci je matica diagonalizovatelna na zaklade vlastnych cisel. Priklad matica M = (1,0,0), (0,5,1), (0,0,5)",C,Popisal som vsetky definicie k danemu zuzeniu a vypocital vlastne cisla a ich nasobnosti. Domotal som podmienku geometrickej nasobnosti vlastnych cisel s diagonalizovatelnostou matice. ,
Dombek Daniel,2025 LS,TRUE,LA2,"BI-LA2: Ortogonalita a ortogonální báze: definice, vlastnosti, využití při počítání vzdáleností lineárních variet.",A,,
Starý Jan,2025 LS,FALSE,MA1,"Lokální extrémy, věta o lokálních extrémech, lokální extrémy funkce f(x) = x + sin x",A,"Napsal jsem definice, nutnou a postačující podmínku a pak udělal ten příklad.",
Jan Spěvák,2025 LS,FALSE,MA1,,B,"Spěvák strašně hodnej, +/- jsem to měla dobře, jen jsem nevěděla definici konvexní a konkávní funkce, tak jsem mu jen prstem ve vzduchu ukázala ""U - tohle je konvexní a to naopak konkávní"", začal se smát (asi ze zoufalství xD), nakonec mi jen ukázal na papír správnou definici a víc toho nechtěl",
Tomáš Kalvoda,2025 LS,FALSE,MA1(?),small O big O pro funkce - definice + jak se da to v některých případech rozhodnout pomoci limity,,,
Spěvák Jan,2025 LS,FALSE,MA2,"16. Zaměření bylo vyšetřování extremů funkce více proměnných, vysvětlit parciální derivaci, gradient, Hessovu matici, kvadratické formy a vlastní určení extrému",,,
